"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"ebt:Earth_Based_Telescope_Parameters:1","Class","Earth_Based_Telescope_Parameters","1.0.0.0","ebt","This class is intended to provide additional metadata for earth-based telescopic observations. Much of the information is geometry information, but in an earth-based context.","sbn","","","","","","","","","","",""
"ebt:Apparent_Magnitude:1            ","Class","Apparent_Magnitude","1.0.0.0","ebt","The Apparent_Magnitude class is an optional, repeatable class for recording magnitude measurements made for an observation.","sbn","","","","","","","","","","",""
"ebt:Apparent_Magnitude:2             ebt:magnitude_filter:1              ","Attribute","magnitude_filter","n/a","ebt","The filter in use (r', v', clear, etc.) at the time of the magnitude estimation.","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ebt:Apparent_Magnitude:2             ebt:magnitude_value:1               ","Attribute","magnitude_value","n/a","ebt","The estimated magnitude at the time of observation.","sbn","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"ebt:Telescope_Geometry:1            ","Class","Telescope_Geometry","1.0.0.0","ebt","The Geometry_Telescope class is a container for geometric information relevant to ground-based observations, as well as observations made from Earth-orbiting telescopes.","sbn","","","","","","","","","","",""
"ebt:Instrument_Parameters:1         ","Class","Instrument_Parameters","1.0.0.0","ebt","This class contains instrument settings and statuses relevant to the observation. ","sbn","","","","","","","","","","",""
"ebt:Instrument_Parameters:2          ebt:instrument_temperature:1        ","Attribute","instrument_temperature","n/a","ebt","The instrument_temperature attribute specifies the measured temperature of the instrument.","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"ebt:Instrument_Parameters:2          ebt:telescope_tracking_rate:1       ","Attribute","telescope_tracking_rate","n/a","ebt","The telescope_tracking_rate attribute identifies whether the telescope used for the observation was configured for sidereal tracking, object tracking, or some other tracking rate. ","sbn","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ebt:Observing_Conditions:1          ","Class","Observing_Conditions","1.0.0.0","ebt","This class details the quality of the product based on observational conditions.","sbn","","","","","","","","","","",""
"ebt:Observing_Conditions:2           ebt:photometric:1                   ","Attribute","photometric","n/a","ebt","The photometric attribute specifies whether observations at the time were considered photometric by the observer.","sbn","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"ebt:Observing_Conditions:2           ebt:observing_notes:1               ","Attribute","observing_notes","n/a","ebt","The observing_notes attribute is an optional field for describing the quality of the given observations.","sbn","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ebt:World_Coordinate_System:1       ","Class","World_Coordinate_System","1.0.0.0","ebt","This class contains World Coordinate System (WCS) terms as specified by the FITS standard for the purpose of mapping the pixel coordinate frame of an image onto a celestial frame. ","sbn","","","","","","","","","","",""
"ebt:Target_Geometry:1               ","Class","Target_Geometry","1.0.0.0","ebt","This class contains attributes that describe angles and points in reference to the target.","sbn","","","","","","","","","","",""
"ebt:Target_Geometry:2                ebt:solar_phase_angle:1             ","Attribute","solar_phase_angle","n/a","ebt","The solar_phase_angle attribute provides a measure of the relationship between the instrument viewing position and the sun. Solar phase angle is measured at the target; it is the angle between a vector to the sun and a vector to the instrument.","sbn","ASCII_Real","0","1","0","180","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"ebt:Target_Geometry:2                ebt:subsolar_latitude:1             ","Attribute","subsolar_latitude","n/a","ebt","The subsolar_latitude attribute gives the value of the planetocentric latitude at the subsolar point on the target.","sbn","ASCII_Real","0","1","-90","90","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"ebt:Target_Geometry:2                ebt:subsolar_longitude:1            ","Attribute","subsolar_longitude","n/a","ebt","The subsolar_longitude attribute gives the value of the planetocentric longitude at the subsolar point on the target.","sbn","ASCII_Real","0","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"ebt:Target_Geometry:2                ebt:subobserver_latitude:1          ","Attribute","subobserver_latitude","n/a","ebt","The subobserver_latitude attribute gives the value of the planetocentric latitude at the subobserver point on the target.","sbn","ASCII_Real","0","1","-90","90","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
