"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"apollo:Observation_Information:1       ","Class","Observation_Information","1.0.0.0","apollo","The Observation_Information class provides information about a science observation.","geo","","","","","","","","","","",""
"apollo:Observation_Information:2        apollo:product_type:1                  ","Attribute","product_type","n/a","apollo","The product_type identifies a group of data products within a collection that have some property in common, such as processing level, resolution, or instrument-specific setting. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"apollo:Observation_Information:2        apollo:product_type:2                   Value:Dataless-SEED","Value","Dataless-SEED","","","Apollo PSE product containing seismic metadata in SEED format."
"apollo:Observation_Information:2        apollo:product_type:2                   Value:GeoCSV","Value","GeoCSV","","","Apollo PSE product containing seismic data in an ASCII table in GeoCSV format."
"apollo:Observation_Information:2        apollo:product_type:2                   Value:Mini-SEED","Value","Mini-SEED","","","Apollo PSE product containing seismic data in mini-SEED format."
"apollo:Observation_Information:2        apollo:product_type:2                   Value:StationXML","Value","StationXML","","","Apollo PSE product containing seismic metadata in StationXML format."
"apollo:Metadata_Location:1             ","Class","Metadata_Location","1.0.0.0","apollo"," The Metadata_Location class contains attributes that identify and locate the metadata associated with a given Apollo PSE data product. ","geo","","","","","","","","","","",""
"apollo:Metadata_Location:2              apollo:metadata_file_name:1            ","Attribute","metadata_file_name","n/a","apollo"," Apollo PSE observations are stored with the seismic data from the instrument in one file (mini-SEED or GeoCSV format) and the metadata for the measurements in another file (dataless SEED or StationXML format). The metadata_file_name attribute gives the name of the file containing the metadata associated with a given data file. ","geo","ASCII_File_Name","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"apollo:ASCII_Equivalent:1              ","Class","ASCII_Equivalent","1.0.0.0","apollo"," The ASCII_Equivalent class contains attributes that identify and locate the ASCII data product equivalent to a given Apollo PSE SEED data product. ","geo","","","","","","","","","","",""
"apollo:ASCII_Equivalent:2               apollo:ascii_equivalent_file_name:1    ","Attribute","ascii_equivalent_file_name","n/a","apollo"," Apollo PSE data products are archived in their native SEED format and in a PDS-compatible ASCII format. The ascii_equivalent_file_name attribute gives the name of the file that is the ASCII equivalent of a SEED format file. ","geo","ASCII_File_Name","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"apollo:SEED_Equivalent:1               ","Class","SEED_Equivalent","1.0.0.0","apollo"," The SEED_Equivalent class contains attributes that identify and locate the SEED data product equivalent to a given Apollo PSE ASCII data product. ","geo","","","","","","","","","","",""
"apollo:SEED_Equivalent:2                apollo:seed_file_name:1                ","Attribute","seed_file_name","n/a","apollo"," Apollo PSE data products are archived in their native SEED format and in a PDS-compatible ASCII format. The seed_file_name attribute gives the name of the file that is the SEED equivalent of an ASCII data file. ","geo","ASCII_File_Name","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"apollo:Seismic_Parameters:1            ","Class","Seismic_Parameters","1.0.0.0","apollo"," Attributes specific to the Apollo Passive Seismic Experiment (PSE) data products. ","geo","","","","","","","","","","",""
"apollo:Seismic_Parameters:2             apollo:pse_data_type:1                 ","Attribute","pse_data_type","n/a","apollo","Apollo PSE mini-SEED products and their equivalent GeoCSV products contain only seismic data, and therefore have the data_type ""waveform"". Apollo PSE dataless SEED products and their equivalent StationXML products contain only metadata for the seismic data files, and therefore have the data_type ""metadata"". ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"apollo:Seismic_Parameters:2             apollo:pse_data_type:2                  Value:metadata","Value","metadata","","","The data product contains only metadata."
"apollo:Seismic_Parameters:2             apollo:pse_data_type:2                  Value:waveform","Value","waveform","","","The data product contains only seismic data."
