"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"chan1:Chandrayaan-1_Parameters:1      ","Class","Chandrayaan-1_Parameters","1.0.0.0","chan1","Container class for general Chandrayaan-1 related parameters.","geo","","","","","","","","","","",""
"chan1:Chandrayaan-1_Parameters:2       chan1:release_id:1                    ","Attribute","release_id","n/a","chan1","Release_id is the identifier of a scheduled release of data by PDS. The first data release is Release 0001. The release_id for a given product is always the first release in which it appears, and does not change if the product is revised later.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"chan1:Chandrayaan-1_Parameters:2       chan1:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","chan1"," The mission_phase_name element provides the commonly-used identifier of a mission phase. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"chan1:Chandrayaan-1_Parameters:2       chan1:mission_phase_name:2             Value:Nominal Mission","Value","Nominal Mission","",""," This value was used by the mini-RF data providers for all of their archived observational data. Presumably, data from a hypothetical Chandrayaan-1 extended mission, beyond its nominal design life of 2 years, might have been distinguished by other values of this attribute. As it did not survive to the end of this period, other values proved unnecessary. "
"chan1:Chandrayaan-1_Parameters:2       chan1:mission_phase_name:2             Value:Primary Mission","Value","Primary Mission","",""," This value was used by the M3 data providers for all of their archived observational data. Presumably, data from a hypothetical Chandrayaan-1 extended mission, beyond its nominal design life of 2 years, might have been distinguished by other values of this attribute. As it did not survive to the end of this period, other values proved unnecessary. "
"chan1:Chandrayaan-1_Parameters:2       chan1:orbit_number:1                  ","Attribute","orbit_number","n/a","chan1"," The orbit_number element identifies the number of the orbital revolution of the spacecraft around a target body. ","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"chan1:Chandrayaan-1_Parameters:2       chan1:spacecraft_clock_start_count:1  ","Attribute","spacecraft_clock_start_count","n/a","chan1","The spacecraft_clock_start_count attribute provides the value of the spacecraft clock at the beginning of a time period of interest. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"chan1:Chandrayaan-1_Parameters:2       chan1:spacecraft_clock_stop_count:1   ","Attribute","spacecraft_clock_stop_count","n/a","chan1","The spacecraft_clock_stop_count attribute provides the value of the spacecraft clock at the end of a time period of interest. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"chan1:Chandrayaan-1_Parameters:2       chan1:instrument_mode_id:1            ","Attribute","instrument_mode_id","n/a","chan1"," The instrument_mode_id element provides an instrument-dependent designation of operating mode. This may be simply a number, letter, code, or a word. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"chan1:Chandrayaan-1_Parameters:2       chan1:instrument_mode_desc:1          ","Attribute","instrument_mode_desc","n/a","chan1","The instrument_mode_desc element describes the instrument mode that is identified by the instrument_mode_id element.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
