"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"clementine:Clementine_Parameters:1         ","Class","Clementine_Parameters","1.0.0.0","clementine","Container class for Clementine-specific parameters.","img","","","","","","","","","","",""
"clementine:Clementine_Parameters:2          clementine:original_product_id:1           ","Attribute","original_product_id","n/a","clementine"," The original_product_id attribute provides the identifier used for a product during active mission operations, which may be distinct from the product id used for archival. ","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"clementine:Clementine_Parameters:2          clementine:revolution_number:1             ","Attribute","revolution_number","n/a","clementine"," The revolution_number attribute identifies the number of the observational pass of a spacecraft around a target body. Note: The Clementine Mission used this attribute in place of orbit number because orbit number changes half way through the observational pass over the Moon and would not be an ideal parameter when interrogating the data set. The revolution number equals orbit number at the start of the observational pass. ","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"clementine:Clementine_Parameters:2          clementine:producer_institution_name:1     ","Attribute","producer_institution_name","n/a","clementine"," The producer_institution_name element identifies the institution primarily responsible for the production of a particular data product. ","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"clementine:Clementine_Parameters:2          clementine:frame_sequence_number:1         ","Attribute","frame_sequence_number","n/a","clementine"," The frame_sequence_number attribute provides the position of an image within a sequence of images taken as part of an observational pass. ","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"clementine:Clementine_Parameters:2          clementine:sequence_table_id:1             ","Attribute","sequence_table_id","n/a","clementine","The sequence_table_id attribute provides a code specifying the order in which cameras were shuttered and filters activated during a particular observation. ","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"clementine:Clementine_Parameters:2          clementine:uncorrected_start_time:1        ","Attribute","uncorrected_start_time","n/a","clementine","The uncorrected_start_time attribute provides the starting time value originally assigned to a product before some corrective process. ","img","ASCII_Date_Time_YMD","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TIME"
"clementine:Clementine_Parameters:2          clementine:clem_jpeg_version:1             ","Attribute","clem_jpeg_version","n/a","clementine"," The clem_jpeg_version attribute specifies the specific set of parameters fed to the Matra compression chip that performed the onboard JPEG-variant discrete cosine transformation image compression. Two settings are documented as commonly used in the primary mission: ""CLEM-JPEG-0"" and, most often, ""CLEM-JPEG-1."" ""CLEM-JPEG-2"" and ""CLEM-JPEG-3"" also appear in some files but are not described in documentation. ","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"clementine:Clementine_Parameters:2          clementine:clem_jpeg_version:2              Value:CLEM-JPEG-0","Value","CLEM-JPEG-0","",""," CLEM-JPEG-0 denotes Matra's built-in quantization settings, weighted towards lower-frequency image data. "
"clementine:Clementine_Parameters:2          clementine:clem_jpeg_version:2              Value:CLEM-JPEG-1","Value","CLEM-JPEG-1","",""," CLEM-JPEG-1 denotes settings that utilized a flat quantization table. "
"clementine:Clementine_Parameters:2          clementine:clem_jpeg_version:2              Value:CLEM-JPEG-2","Value","CLEM-JPEG-2","",""," CLEM-JPEG-2 denotes some other group of settings not detailed in documentation. "
"clementine:Clementine_Parameters:2          clementine:clem_jpeg_version:2              Value:CLEM-JPEG-3","Value","CLEM-JPEG-3","",""," CLEM-JPEG-3 denotes some other group of settings not detailed in documentation. "
"clementine:Clementine_Parameters:2          clementine:clem_jpeg_version:2              Value:None","Value","None","",""," A value of None indicates that Clementine did not compress this particular image. "
"clementine:Clementine_Parameters:2          clementine:twist_angle:1                   ","Attribute","twist_angle","n/a","clementine"," The twist_angle attribute provides the angle of rotation about an instrument's optical axis relative to celestial coordinates. Right ascension, declination, and twist angle together completely specify the pointing of an instrument in a celestial coordinate system. ","img","ASCII_Real","0","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"clementine:Clementine_Parameters:2          clementine:smear_magnitude:1               ","Attribute","smear_magnitude","n/a","clementine"," smear_magnitude gives the amount, in pixels, that the image is 'smeared' by spacecraft motion. More specifically, in Clementine, it is the magnitude of the velocity vector of camera boresight intercept with target (including spacecraft rotation) multiplied by exposure duration and image scale. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"clementine:Clementine_Parameters:2          clementine:smear_azimuth:1                 ","Attribute","smear_azimuth","n/a","clementine"," smear_azimuth gives the azimuth, in degrees, of the 'smear' velocity vector (velocity of image boresight intercept with target). The reference line for this angle extends from image center to image right edge; angle increases clockwise in the image plane. ","img","ASCII_Real","0","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"clementine:Clementine_Parameters:2          clementine:north_azimuth:1                 ","Attribute","north_azimuth","n/a","clementine"," north_azimuth gives the azimuth, in degrees, of the vector between the image center and the target north pole. The reference line for this angle extends from image center to image right edge; angle increases clockwise in the image plane. ","img","ASCII_Real","0","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"clementine:Clementine_Parameters:2          clementine:local_hour_angle:1              ","Attribute","local_hour_angle","n/a","clementine","The local_hour_angle attribute provides a measure of the instantaneous apparent sun position at the subspacecraft point. The local_hour_angle is the angle between the extension of the vector from the Sun to the target body and the vector projection on the target body’s ecliptic plane of a vector from the target body’s planetocentric center to the observer (usually, the spacecraft). This angle is measured in a counterclockwise direction when viewed from north of the ecliptic plane. It may be converted from an angle in degrees to a local time, using the conversion of 15 degrees per hour for those planets for which the rotational direction corresponds with the direction of measure of the angle. ","img","ASCII_Real","0","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"clementine:Clementine_Parameters:2          clementine:cryocooler_duration:1           ","Attribute","cryocooler_duration","n/a","clementine"," The cryocooler_duration attribute provides the duration, in seconds, since the activation of an imager's cooling device and the acquisition of an image. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"clementine:Celestial_Footprint_Vertices:1  ","Class","Celestial_Footprint_Vertices","1.0.0.0","clementine"," The Celestial_Footprint_Vertices class provides a set of right ascension and declination pairs which are the vertices of a polygon representing the footprint of the field of view on the celestial sphere in the earth-centered J2000 (EME2000) coordinate system. This and its associates are direct analogs of geom:Footprint_Vertices and its associates, intended for referencing FoV to the celestial sphere rather than a target body. They can also be reconsidered reimplementations of the PDS3 Data Dictionary elements RETICLE_POINT_RA and RETICLE_POINT_DECLINATION. ","img","","","","","","","","","","",""
"clementine:Celestial_Reference_Pixel:1     ","Class","Celestial_Reference_Pixel","1.0.0.0","clementine"," The Celestial_Reference_Pixel class provides the right ascension and declination of a specific designated pixel in the earth-centered J2000 (EME2000) coordinate system. ","img","","","","","","","","","","",""
"clementine:Celestial_Reference_Pixel:2      clementine:reference_pixel_location:1      ","Attribute","reference_pixel_location","n/a","clementine"," reference_pixel_location describes the position, within an image associated with the labeled data product, of a pixel referred to by other attributes of the containing class. ","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"clementine:Celestial_Reference_Pixel:2      clementine:pixel_ra:1                      ","Attribute","pixel_ra","n/a","clementine","The pixel_ra attribute gives the value of the right ascension of a particular pixel as projected on the celestial sphere. ","img","ASCII_Real","1","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"clementine:Celestial_Reference_Pixel:2      clementine:pixel_dec:1                     ","Attribute","pixel_dec","n/a","clementine","The pixel_dec attribute gives the value of the declination of a particular pixel as projected on the celestial sphere. ","img","ASCII_Real","1","1","-90","90","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"clementine:Illumination_Secondary:1        ","Class","Illumination_Secondary","1.0.0.0","clementine","The Illumination_Secondary class contains attributes providing illumination geometry for a secondary light source. It should be used only when parameters for a primary illumination source have been specified elsewhere in the label (perhaps using geom:Illumination_Geometry). ","img","","","","","","","","","","",""
"clementine:Illumination_Secondary:2         clementine:light_source_name:1             ","Attribute","light_source_name","n/a","clementine"," Name of light source to which other attributes of containing class apply. ","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"clementine:Illumination_Secondary:2         clementine:light_source_distance:1         ","Attribute","light_source_distance","n/a","clementine"," Distance between the target body center and the light source whose illumination parameters are described in the containing class. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"clementine:Illumination_Secondary:2         clementine:sub_light_source_azimuth:1      ","Attribute","sub_light_source_azimuth","n/a","clementine","The sub_light_source_azimuth attribute provides the value of the angle between the line from the center of an image to the sub-light-source point on the target and a horizontal reference line (in the image plane) extending from the image center to the middle right edge of the image. The values of this angle increase in a clockwise direction. ","img","ASCII_Real","0","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"clementine:Illumination_Secondary:2         clementine:sub_light_source_latitude:1     ","Attribute","sub_light_source_latitude","n/a","clementine","The sub_light_source_latitude attribute gives the value of the planetocentric latitude at the sub-light-source point on the target. ","img","ASCII_Real","0","1","-90","90","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"clementine:Illumination_Secondary:2         clementine:sub_light_source_longitude:1    ","Attribute","sub_light_source_longitude","n/a","clementine","The sub_light_source_longitude attribute gives the value of the planetocentric latitude at the sub-light-source point on the target. ","img","ASCII_Real","0","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"clementine:Illumination_Secondary:2         clementine:incidence_angle:1               ","Attribute","incidence_angle","n/a","clementine","The incidence_angle element provides a measure of the lighting condition at the intercept point. Incidence angle is the angle between the local vertical at the intercept point (surface) and a vector from the intercept point to the sun. The incidence_angle varies from 0 degrees when the intercept point coincides with the subsolar point to 90 degrees when the intercept point is at the terminator (i.e., in the shadowed or dark portion of the target body). ","img","ASCII_Real","0","1","0","180","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"clementine:Illumination_Secondary:2         clementine:phase_angle:1                   ","Attribute","phase_angle","n/a","clementine","The phase_angle element provides a measure of the relationship between the instrument viewing position and incident illumination (such as solar light). Phase angle is measured at the target; it is the angle between a vector to the illumination source and a vector to the instrument. If illumination is from behind the instrument, phase_angle will be small. ","img","ASCII_Real","0","1","0","180","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
