"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"mess:MDIS:1                          ","Class","MDIS","1.0.0.0","mess","The MESSENGER MDIS class is the container for MESSENGER MDIS specific metadata elements. ","ppi","","","","","","","","","","",""
"mess:MDIS:2                           mess:aex_bacb:1                      ","Attribute","aex_bacb","n/a","mess","The background brightness used for MDIS automatic exposure time calculation. In a test image that it analyzed to determine an exposure time using automatic exposure, DPU hardware generates a histogram of the image. The histogram is analyzed by the software to determine if the image is overexposed or underexposed, and the exposure time is adjusted accordingly by analyzing the histogram of raw DN values in different brightness bins. The background or dark current level (mess.mdis.aex_bacb) is taken into account an is assumed to be a constant value. A threshold of number of pixels (mess.mdis.aex_sthr) is allowed to exceed a target brightness (mess.mdis.aex_tgtb). Starting with the maximum value, the number of pixels exceeding the target is counted, and the brightness of the histogram bin in which that threshold is reached (mess.mdis.aex_stat) is reported. The exposure time is scaled back by the ratio of mess.mdis.aex_tgtb/mess.mdis.aex_stat.","ppi","ASCII_Integer","0","1","0","4095","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:aex_maxe:1                      ","Attribute","aex_maxe","n/a","mess","The maximum allowable exposure time from an MDIS automatic exposure time calculation. In a test image that it analyzed to determine an exposure time using automatic exposure, DPU hardware generates a histogram of the image. The histogram is analyzed by the software to determine if the image is overexposed or underexposed, and the exposure time is adjusted accordingly by analyzing the histogram of raw DN values in different brightness bins. The background or dark current level (mess.mdis.aex_bacb) is taken into account an is assumed to be a constant value. A threshold of number of pixels (mess.mdis.aex_sthr) is allowed to exceed a target brightness (mess.mdis.aex_tgtb). Starting with the maximum value, the number of pixels exceeding the target is counted, and the brightness of the histogram bin in which that threshold is reached (mess.mdis.aex_stat) is reported. The exposure time is scaled back by the ratio of mess.mdis.aex_tgtb/mess.mdis.aex_stat.","ppi","ASCII_Integer","0","1","0","989","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:aex_mine:1                      ","Attribute","aex_mine","n/a","mess","The minimum allowable exposure time from an MDIS automatic exposure time calculation. In a test image that it analyzed to determine an exposure time using automatic exposure, DPU hardware generates a histogram of the image. The histogram is analyzed by the software to determine if the image is overexposed or underexposed, and the exposure time is adjusted accordingly by analyzing the histogram of raw DN values in different brightness bins. The background or dark current level (mess.mdis.aex_bacb) is taken into account an is assumed to be a constant value. A threshold of number of pixels (mess.mdis.aex_sthr) is allowed to exceed a target brightness (mess.mdis.aex_tgtb). Starting with the maximum value, the number of pixels exceeding the target is counted, and the brightness of the histogram bin in which that threshold is reached (mess.mdis.aex_stat) is reported. The exposure time is scaled back by the ratio of mess.mdis.aex_tgtb/mess.mdis.aex_stat.","ppi","ASCII_Integer","0","1","0","989","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:aex_stat:1                      ","Attribute","aex_stat","n/a","mess","The bin in a DPU histogram of image brightness used for MDIS automatic exposure time calculation. In a test image that it analyzed to determine an exposure time using automatic exposure, DPU hardware generates a histogram of the image. The histogram is analyzed by the software to determine if the image is overexposed or underexposed, and the exposure time is adjusted accordingly by analyzing the histogram of raw DN values in different brightness bins. The background or dark current level (mess.mdis.aex_bacb) is taken into account an is assumed to be a constant value. A threshold of number of pixels (mess.mdis.aex_sthr) is allowed to exceed a target brightness (mess.mdis.aex_tgtb). Starting with the maximum value, the number of pixels exceeding the target is counted, and the brightness of the histogram bin in which that threshold is reached (mess.mdis.aex_stat) is reported. The exposure time is scaled back by the ratio of mess.mdis.aex_tgtb/mess.mdis.aex_stat.","ppi","ASCII_Integer","0","1","0","4095","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:aex_sthr:1                      ","Attribute","aex_sthr","n/a","mess","The number of pixels allowed to exceed target brightness during an MDIS automatic exposure time calculation. In a test image that it analyzed to determine an exposure time using automatic exposure, DPU hardware generates a histogram of the image. The histogram is analyzed by the software to determine if the image is overexposed or underexposed, and the exposure time is adjusted accordingly by analyzing the histogram of raw DN values in different brightness bins. The background or dark current level (mess.mdis.aex_bacb) is taken into account an is assumed to be a constant value. A threshold of number of pixels (mess.mdis.aex_sthr) is allowed to exceed a target brightness (mess.mdis.aex_tgtb). Starting with the maximum value, the number of pixels exceeding the target is counted, and the brightness of the histogram bin in which that threshold is reached (mess.mdis.aex_stat) is reported. The exposure time is scaled back by the ratio of mess.mdis.aex_tgtb/mess.mdis.aex_stat.","ppi","ASCII_Integer","0","1","0","65535","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:aex_tgtb:1                      ","Attribute","aex_tgtb","n/a","mess","The target brightness used for MDIS automatic exposure time calculation. In a test image that it analyzed to determine an exposure time using automatic exposure, DPU hardware generates a histogram of the image. The histogram is analyzed by the software to determine if the image is overexposed or underexposed, and the exposure time is adjusted accordingly by analyzing the histogram of raw DN values in different brightness bins. The background or dark current level (mess.mdis.aex_bacb) is taken into account an is assumed to be a constant value. A threshold of number of pixels (mess.mdis.aex_sthr) is allowed to exceed a target brightness (mess.mdis.aex_tgtb). Starting with the maximum value, the number of pixels exceeding the target is counted, and the brightness of the histogram bin in which that threshold is reached (mess.mdis.aex_stat) is reported. The exposure time is scaled back by the ratio of mess.mdis.aex_tgtb/mess.mdis.aex_stat.","ppi","ASCII_Integer","0","1","0","4095","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:att_clock_count:1               ","Attribute","att_clock_count","n/a","mess","The mission-elapsed-time, or MET, in seconds since MESSENGER launch, of the second during which the spacecraft attitude measurement in the header of an MDIS image was acquired.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:att_flag:1                      ","Attribute","att_flag","n/a","mess","Attitude quality flag for the spacecraft attitude quaternion in the header of an MDIS image: 7 = Attitude Knowledge OK (At least 1 Star Tracker is available and at least 50% of gyro data is valid) 6 = Attitude Knowledge OK (No Star Tracker is available but at least 50% of gyro data is valid) 5 = Attitude Knowledge OK (No Star Tracker is and between 10% and 50% of gyro data is valid -OR- At least 1 Star Tracker is valid and between 0% and 50% of gyro data valid) 4 = not a legal option 3 = Attitude Knowledge BAD (At least 1 Star Tracker is available and at least 50% of gyro data is valid) 2 = Attitude Knowledge BAD (No Star Tracker is available but at least 50% of gyro data is valid) 1 = Attitude Knowledge BAD (No Star Tracker is available and between 10% and 50% of gyro data is valid -OR- At least 1 Star Tracker is valid and between 0% and 50% of gryo data is valid) 0 = Attitude Knowledge BAD (No Star Tracker data fewer than 10% of gyro data valid).","ppi","ASCII_Integer","0","1","0","7","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:att_q1:1                        ","Attribute","att_q1","n/a","mess","The roll value of the vector component of the attitude quaternion representing spacecraft attitude, in the header of an MDIS image.","ppi","ASCII_Real","0","1","-1.0","1.0","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mess:MDIS:2                           mess:att_q2:1                        ","Attribute","att_q2","n/a","mess","The pitch value of the vector component of the attitude quaternion representing spacecraft attitude, in the header of an MDIS image.","ppi","ASCII_Real","0","1","-1.0","1.0","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
