"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"nh:Detector:1                      ","Class","Detector","1.0.0.0","nh"," The Detector class provides observation metadata relevant to the specific detector (an instrument may have more than one detector) used to collect the data. ","sbn","","","","","","","","","","",""
"nh:Detector:2                       nh:detector_name:1                 ","Attribute","detector_name","n/a","nh"," The name of the detector that recorded the observation(s) comprising the product. For instruments with multiple detectors, as in the case of MVIC, for example, this string will include both the instrument ID and the specific detector ID. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"nh:Detector:2                       nh:detector_name:2                  Value:MVIC Blue (BLUE) Cha","Value","MVIC Blue (BLUE) Channel","",""," Data were obtained using the blue channel detector. The blue filter covers the range 400-550nm. "
"nh:Detector:2                       nh:detector_name:2                  Value:MVIC Methane (CH4) C","Value","MVIC Methane (CH4) Channel","",""," Data were obtained using the narrow band methane (CH4) channel detector. The CH4 filter covers the range 860-910nm "
"nh:Detector:2                       nh:detector_name:2                  Value:MVIC Near Infrared (","Value","MVIC Near Infrared (NIR) Channel","",""," Data were obtained using the Near IR channel detector. The NIR filter covers the range 780-975nm. "
"nh:Detector:2                       nh:detector_name:2                  Value:MVIC Panchromatic 1 ","Value","MVIC Panchromatic 1 (PAN1) Channel","",""," Data were obtained using the panchromatic channel 1 (one) detector. The filter over the panchromatic detectors is clear; the coverage range is 400-975nm. "
"nh:Detector:2                       nh:detector_name:2                  Value:MVIC Panchromatic 2 ","Value","MVIC Panchromatic 2 (PAN2) Channel","",""," Data were obtained using the panchromatic channel 2 (two) detector. The filter over the panchromatic detectors is clear; the coverage range is 400-975nm. "
"nh:Detector:2                       nh:detector_name:2                  Value:MVIC Panchromatic Fr","Value","MVIC Panchromatic Framing (FRAME) Array","",""," Data were obtained using the panchromatic framing array. The filter over the framing array is clear; the coverage range is 400-975nm. "
"nh:Detector:2                       nh:detector_name:2                  Value:MVIC Red (RED) Chann","Value","MVIC Red (RED) Channel","",""," Data were obtained using the red channel detector. The red filter covers the range 540-700nm. "
"nh:Detector:2                       nh:detector_type:1                 ","Attribute","detector_type","n/a","nh"," The detector_type attribute provides a brief indication of the type of hardware comprising the detector. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"nh:Detector:2                       nh:detector_type:2                  Value:CCD","Value","CCD","","","The detector is a standard CCD."
"nh:Mission_Elapsed_Time:1          ","Class","Mission_Elapsed_Time","1.0.0.0","nh"," The Mission_Elapsed_Time class provides spacecraft clock partition and count readings for the start and end of the observation(s) comprising the data product. ","sbn","","","","","","","","","","",""
"nh:Mission_Elapsed_Time:2           nh:clock_partition:1               ","Attribute","clock_partition","n/a","nh"," The clock_partition holds the mission clock partition counter. This is a simple integer ","sbn","ASCII_NonNegative_Integer","1","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"nh:Mission_Elapsed_Time:2           nh:start_clock_count:1             ","Attribute","start_clock_count","n/a","nh"," The start_clock_count is the Mission Elapsed Time code at the start of the observation(s), formatted as spacecraft clock ticks and indicating whole and fractional seconds. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"nh:Mission_Elapsed_Time:2           nh:stop_clock_count:1              ","Attribute","stop_clock_count","n/a","nh"," The stop_clock_count is the Mission Elapsed Time code at the end of the observation(s), formatted as spacecraft clock ticks and indicating whole and fractional seconds. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"nh:Frame_Bias_Levels:1             ","Class","Frame_Bias_Levels","1.0.0.0","nh"," The Frame_Bias_Levels class records the frame number and left/right bias levels for a single frame in a framing observation sequence. In the MVIC detector used for framing observations, the bias level for left and right sides of the detector may vary. Bias levels on each side are measured with every observation through shielded pixels on either side of the detector, the bias values for the pixels from each side them being averaged to return a single median bias level for each side of the detector. These bias levels are reported as left and right median bias levels for each frame. ","sbn","","","","","","","","","","",""
"nh:Frame_Bias_Levels:2              nh:frame_number:1                  ","Attribute","frame_number","n/a","nh"," The frame_number attribute is used to identify a single frame (or image plane) in an observation that is formatted as a 3D image cube. The first frame is numbered ""0"" (zero). ","sbn","ASCII_NonNegative_Integer","1","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"nh:Frame_Bias_Levels:2              nh:left_side_median_bias:1         ","Attribute","left_side_median_bias","n/a","nh"," The left_side_median_bias attribute provides the median bias, in DN, determined by averaging the bias levels for the shielded pixels on the left side of the detector array. ","sbn","ASCII_Real","1","1","-1.0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","REAL"
"nh:Frame_Bias_Levels:2              nh:right_side_median_bias:1        ","Attribute","right_side_median_bias","n/a","nh"," The right_side_median_bias attribute provides the median bias, in DN, determined by averaging the bias levels for the shielded pixels on the right side of the detector array. ","sbn","ASCII_Real","1","1","-1.0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","REAL"
"nh:Framing_Biases:1                ","Class","Framing_Biases","1.0.0.0","nh"," The Framing_Biases class contains one nh:Frame_Bias_Levels class for each individual frame of a framing observation. These classes provide the left and right side bias levels applied in calibrating the data. ","sbn","","","","","","","","","","",""
"nh:MVIC_Calibration_Information:1  ","Class","MVIC_Calibration_Information","1.0.0.0","nh"," The MVIC_Calibration_Information class gathers attributes related to the attributes of the detector and other information relevant to the calibration processing performed to produce the current data product. ","sbn","","","","","","","","","","",""
