"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"orex:Common_Instrument_Attributes:1  ","Class","Common_Instrument_Attributes","1.0.0.0","orex","Attributes that describe instrument characteristics such as times, temperatures, voltages or pressures that are common to more than one instrument aboard the OSIRIS-REx Spacecraft.","sbn","","","","","","","","","","",""
"orex:Common_Instrument_Attributes:2   orex:image_id:1                      ","Attribute","image_id","n/a","orex","Identifier that is associated with an image","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:Data_Processing_Information:1   ","Class","Data_Processing_Information","1.0.0.0","orex","This class contains the data processing information for a specific observation or set of observations. Items included in this class include names of input files used in the data processing, the source (test or flight) of the data, who or where the data was processed, and if necessary software names and version numbers.","sbn","","","","","","","","","","",""
"orex:Data_Processing_Information:2    orex:calrad_used:1                   ","Attribute","calrad_used","n/a","orex","Indicates the calibration method used. 1 - nominal space looks, 2 - infrequent space looks, 3 - no space looks","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:Data_Processing_Information:2    orex:control_file:1                  ","Attribute","control_file","n/a","orex","Data origin/provenance information","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Processing_Information:2    orex:creator:1                       ","Attribute","creator","n/a","orex","Creator of this product","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Processing_Information:2    orex:data_source:1                   ","Attribute","data_source","n/a","orex","Origin of image data TEST or FLIGHT","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Processing_Information:2    orex:dispornt:1                      ","Attribute","dispornt","n/a","orex","Image origin (0,0) is located in the bottom-left corner of the display. This is the standard FITS display orientation.","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Processing_Information:2    orex:file_creation:1                 ","Attribute","file_creation","n/a","orex","Date of creation of this file","sbn","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Processing_Information:2    orex:linearity_limit:1               ","Attribute","linearity_limit","n/a","orex","Linearity Limit.","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"orex:Data_Processing_Information:2    orex:max_pixel_value:1               ","Attribute","max_pixel_value","n/a","orex","Max image pixel value in dynamic range recorded by the instrument.","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"orex:Data_Processing_Information:2    orex:min_pixel_value:1               ","Attribute","min_pixel_value","n/a","orex","Max image pixel value in dynamic range recorded by the instrument.","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"orex:Data_Processing_Information:2    orex:ocams_pl_ver:1                  ","Attribute","ocams_pl_ver","n/a","orex","TBD_Ingest_LDD","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Processing_Information:2    orex:proc_desc_flag:1                ","Attribute","proc_desc_flag","n/a","orex","Processing description flag, where the different processing levels are described in the CALIB section of the PDS volume.","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"orex:Data_Processing_Information:2    orex:rad_units:1                     ","Attribute","rad_units","n/a","orex","Reflectance (unitless).","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Processing_Information:2    orex:saturation_limit:1              ","Attribute","saturation_limit","n/a","orex","Saturation Limit.","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"orex:Data_Processing_Information:2    orex:spoc_version:1                  ","Attribute","spoc_version","n/a","orex","TBD_Ingest_LDD","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Processing_Information:2    orex:units:1                         ","Attribute","units","n/a","orex","Raw ADC data numbers.","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Quality:1                  ","Class","Data_Quality","1.0.0.0","orex","This class contains data quality information for a specific observation or set of observations. Attributes can include data quality flags, as well as checksum status.","sbn","","","","","","","","","","",""
"orex:Data_Quality:2                   orex:checksum_result:1               ","Attribute","checksum_result","n/a","orex","The pass/fail state of the image check sum","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Quality:2                   orex:ckqual:1                        ","Attribute","ckqual","n/a","orex","Quality of C-Kernel (nominal equals RECONSTRUCT, contingency equals PREDICT)","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Quality:2                   orex:giant_ckqual:1                  ","Attribute","giant_ckqual","n/a","orex","Quality of pointing (nominal equals RECONSTRUCT or C-SMITHED(GIANT), contingency equals PREDICT)","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Quality:2                   orex:meta_ker:1                      ","Attribute","meta_ker","n/a","orex","Metakernel that holds all the spice kernels used for processing","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Quality:2                   orex:misspxla:1                      ","Attribute","misspxla","n/a","orex","Number of pixels in the 1024x1024 active area that were zero filled as a result of data loss","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"orex:Data_Quality:2                   orex:misspxls:1                      ","Attribute","misspxls","n/a","orex","Number of pixels in the entire 1112x1044 CCD that were zero filled as a result of data loss","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"orex:Data_Quality:2                   orex:mk_filename:1                   ","Attribute","mk_filename","n/a","orex","Filename of the meta-kernel created for processing this Level0 product","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Data_Quality:2                   orex:quality_flag:1                  ","Attribute","quality_flag","n/a","orex","Data quality flag, 0 equals good. Other flags to be added at a later date.","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"orex:Data_Quality:2                   orex:total_checksum:1                ","Attribute","total_checksum","n/a","orex","The pass/fail state of the image check sum as transmitted from the instrument.","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Instrument_Telemetry_Identification:1","Class","Instrument_Telemetry_Identification","1.0.0.0","orex","This class contains the spacecraft telemetry packet type identification information for a specific observation or set of observations.","sbn","","","","","","","","","","",""
"orex:Instrument_Telemetry_Identification:2 orex:apid:1                          ","Attribute","apid","n/a","orex","Application Identification Number","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"orex:Mission_Information:1           ","Class","Mission_Information","1.0.0.0","orex","This class contains information about the OSIRIS-REx mission and mission phases. The attributes in this class are common to all mission data products.","sbn","","","","","","","","","","",""
"orex:Mission_Information:2            orex:mission_phase_identifier:1      ","Attribute","mission_phase_identifier","n/a","orex","Abbreviation used to indicate the OSIRIS-REx mission phase. Accepted values are lau for Launch, obc for Outbound Cruise, app for Approach, psv for Preliminary Survey, ora for Orbit A, dsv for Detailed Survey, orb for Orbit B, rec for Recon, tar for TAG Rehearsal, tag for Touch-and-Go, and rtn for Return Cruise.","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:Mission_Information:2            orex:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","orex","Mission phase of the OSIRIS REx mission. Mission phase possibilities include cruise, approach, preliminary survey, orbital a, detailed survey, orbital b, reconnaissance, rehearsal, and TAG (Touch-and-go)","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:OCAMS_Image_Properties:1        ","Class","OCAMS_Image_Properties","1.0.0.0","orex","This class contains the OSIRIS-REx Camera Suite (OCAMS) image properties. Attributes specify the type of image taken for the specific observation.","sbn","","","","","","","","","","",""
"orex:OCAMS_Image_Properties:2         orex:image_type_code:1               ","Attribute","image_type_code","n/a","orex","Type of image commanded. LIGHT (science observation), BIAS (calibration) , DARK (calibration), LAMP (calibration), OTHER","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:OCAMS_Instrument_Attributes:1   ","Class","OCAMS_Instrument_Attributes","1.0.0.0","orex","This class contains instrument attributes specific to the OSIRIS-REx Camera Suite (OCAMS). These instrument attributes are such items as instrument set-up parameters for each image or sequence of images taken, instrument temperatures, voltages and currents, or other parameters recorded by the instrument on an image by image basis.","sbn","","","","","","","","","","",""
"orex:OCAMS_Instrument_Attributes:2    orex:action_mode:1                   ","Attribute","action_mode","n/a","orex","Action sequence enable mode: 0 equals off, 1 equals on","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:active:1                        ","Attribute","active","n/a","orex","Camera number of active camera (1-Map, 2-Sam, 3-Poly). Note that the numeric values are different than those of the CAMERAID.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:adc_clamp_enable:1              ","Attribute","adc_clamp_enable","n/a","orex","Analog to digital converter clamp enable during imaging. Enable equals 1.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:board_rev_num:1                 ","Attribute","board_rev_num","n/a","orex","CCD board revision number","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cal_lamp_sel:1                  ","Attribute","cal_lamp_sel","n/a","orex","Bitwise Camera of the active illumination lamp","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:camera_id:1                     ","Attribute","camera_id","n/a","orex","ID of camera in use. 0- Map, 1-Sam, 2-Poly. Note that the numeric values for ACTV_CAM are different, but the named camera will be identical.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:ccd_csr_reserved:1              ","Attribute","ccd_csr_reserved","n/a","orex","CCD control status register reserve bit","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:ccd_rev_num:1                   ","Attribute","ccd_rev_num","n/a","orex","CCD revision number","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:ccd_rst_l_pulse:1               ","Attribute","ccd_rst_l_pulse","n/a","orex","CCD control status reg left reset pulse indicator. 1 equals 25 ns RST_L pulse , 0 equals 12.5 ns (Control/Status) Note: if ADC_INCLK equals 10 MHz, RST_L is forced to 12.5 ns.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:ccd_rst_r_pulse:1               ","Attribute","ccd_rst_r_pulse","n/a","orex","CCD control status reg right reset pulse indicator. 1 equals 25 ns RST_R pulse, 0 equals 12.5 ns (Control/Status) Note: if ADC_INCLK equals 10 MHz, RST_R is forced to 12.5 ns.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:chan1_course_dac_reg_val:1      ","Attribute","chan1_course_dac_reg_val","n/a","orex","Channel 1 coarse DAC register. 0 equals off, 1 equals on.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:chan1_fine_dac_reg_val:1        ","Attribute","chan1_fine_dac_reg_val","n/a","orex","Channel 1 fine DAC register. 0 equals off, 1 equals on.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:chan2_course_dac_reg_val:1      ","Attribute","chan2_course_dac_reg_val","n/a","orex","Channel 2 coarse DAC register. 0 equals off, 1 equals on.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:chan2_fine_dac_reg_val:1        ","Attribute","chan2_fine_dac_reg_val","n/a","orex","Channel 2 fine DAC register. 0 equals off, 1 equals on.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cs1h_ccd:1                      ","Attribute","cs1h_ccd","n/a","orex","CCD Storage clock pattern. CCD Storage clock patterns during a storage to horizontal register transfer. There are 8 bit periods per storage clock cycle. The CS1H_CCD determines the high to low ratio incremented each VFREQCSR count cycle.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cs2h_ccd:1                      ","Attribute","cs2h_ccd","n/a","orex","CCD Storage clock pattern. CCD Storage clock patterns during a storage to horizontal register transfer. There are 8 bit periods per storage clock cycle. The CS2H_CCD determines the high to low ratio incremented each VFREQCSR count cycle.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cs3h_ccd:1                      ","Attribute","cs3h_ccd","n/a","orex","CCD Storage clock patterns during a storage to horizontal register transfer. There are 8 bit periods per storage clock cycle. The CS3H_CCD determines the high to low ratio incremented each VFREQCSR count cycle.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cs4h_ccd:1                      ","Attribute","cs4h_ccd","n/a","orex","CCD Storage clock patterns during a storage to horizontal register transfer. There are 8 bit periods per storage clock cycle. The CS4H_CCD determines the high to low ratio incremented each VFREQCSR count cycle.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_detector_minus_24:1         ","Attribute","cur_detector_minus_24","n/a","orex","-24 V current detector","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_detector_minus_24_x:1       ","Attribute","cur_detector_minus_24_x","n/a","orex","-24 V current detector","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Current","none","TBD_classConcept","REAL"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_detector_plus_24:1          ","Attribute","cur_detector_plus_24","n/a","orex","+24 V current detector","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_detector_plus_24_x:1        ","Attribute","cur_detector_plus_24_x","n/a","orex","+24 V current detector","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Current","none","TBD_classConcept","REAL"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_detector_plus_5:1           ","Attribute","cur_detector_plus_5","n/a","orex","+5 V current detector","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_detector_plus_5_x:1         ","Attribute","cur_detector_plus_5_x","n/a","orex","+5 V current detector","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Current","none","TBD_classConcept","REAL"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_htr:1                       ","Attribute","cur_htr","n/a","orex","Heater Current","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_htr_x:1                     ","Attribute","cur_htr_x","n/a","orex","Heater Current","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Current","none","TBD_classConcept","REAL"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_index:1                     ","Attribute","cur_index","n/a","orex","Index Lamp Current","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_index_x:1                   ","Attribute","cur_index_x","n/a","orex","Index Lamp Current","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Current","none","TBD_classConcept","REAL"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_lamp:1                      ","Attribute","cur_lamp","n/a","orex","Illumination Lamp Current","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_lamp_x:1                    ","Attribute","cur_lamp_x","n/a","orex","Illumination Lamp Current","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Current","none","TBD_classConcept","REAL"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_motor:1                     ","Attribute","cur_motor","n/a","orex","Motor Current","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:cur_motor_x:1                   ","Attribute","cur_motor_x","n/a","orex","Motor Current","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Current","none","TBD_classConcept","REAL"
"orex:OCAMS_Instrument_Attributes:2    orex:cx_pattern:1                    ","Attribute","cx_pattern","n/a","orex","CCD vertical clock pattern. There are 8 bit periods per vertical clock cycle. CX_PATT determines the high to low ratio incremented each VFREQCSR count cycle.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:detector_mode:1                 ","Attribute","detector_mode","n/a","orex","Imaging command mode.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:device_id:1                     ","Attribute","device_id","n/a","orex","Analog to digital converter device revision identifier","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:dpu_brd_temp:1                  ","Attribute","dpu_brd_temp","n/a","orex","Digital processing unit (DPU) board temperature.","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:dpu_brd_temp_x:1                ","Attribute","dpu_brd_temp_x","n/a","orex","DPU Board Temperature","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"orex:OCAMS_Instrument_Attributes:2    orex:egain:1                         ","Attribute","egain","n/a","orex","Electronic gain in electrons per analog-to-digital units","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"orex:OCAMS_Instrument_Attributes:2    orex:encode_upper_pixel_bits:1       ","Attribute","encode_upper_pixel_bits","n/a","orex","Charge couple device control status register 1 equals encode upper pixel bits","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:filtname:1                      ","Attribute","filtname","n/a","orex","Filter name: SS - sun safe, X - 860 nm filter, W - 700 nm filter, V - 550 nm filter, B - 470 nm filter, PAN - panchromatic filter focused at greater than or equal to 125 m, SSCAL - sun safe blocking filter calibration prosition, PAN30 - panchromatic filter focuses at 30 m, PAN1 - panchromatic filter focused at 5 m, PAN4 - panchromatic filter focused at 5 m , PAN5 - panchromatic filter focused at 5 m","sbn","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"orex:OCAMS_Instrument_Attributes:2    orex:fpga_rev_num:1                  ","Attribute","fpga_rev_num","n/a","orex","FPGA revision number","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:ground:1                        ","Attribute","ground","n/a","orex","Ground (Analog)","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:ground_x:1                      ","Attribute","ground_x","n/a","orex","Ground (Analog)","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Voltage","none","TBD_classConcept","REAL"
"orex:OCAMS_Instrument_Attributes:2    orex:hcte_csr:1                      ","Attribute","hcte_csr","n/a","orex","Horizontal over scan count","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:htr_brd_temp:1                  ","Attribute","htr_brd_temp","n/a","orex","Heater board temperature (unbuffered)","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:htr_brd_temp_x:1                ","Attribute","htr_brd_temp_x","n/a","orex","Heater_BRD_Temp (unbuffered)","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"orex:OCAMS_Instrument_Attributes:2    orex:htr_test_pt:1                   ","Attribute","htr_test_pt","n/a","orex","Ground (Analog)","sbn","ASCII_Integer","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"orex:OCAMS_Instrument_Attributes:2    orex:htr_test_pt_x:1                 ","Attribute","htr_test_pt_x","n/a","orex","Ground (Analog)","sbn","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Voltage","none","TBD_classConcept","REAL"
