"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"vg2:Voyager2:1                      ","Class","Voyager2","1.0.0.0","vg2","The VG2 class is the container for mission-specific metadata elements.","ppi","","","","","","","","","","",""
"vg2:Voyager2:2                       vg2:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","vg2","The mission_phase_name attribute provides the mission-defined name of a mission phase.","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"vg2:Voyager2:2                       vg2:mission_phase_name:2             Value:Launch","Value","Launch","","","1977-08-20 (1977-232) to 1977-08-20 (1977-232)"
"vg2:Voyager2:2                       vg2:mission_phase_name:2             Value:Earth-Jupiter Cruise","Value","Earth-Jupiter Cruise","","",")1977-08-20 (1977-232) to 1979-04-25 (1979-115)"
"vg2:Voyager2:2                       vg2:mission_phase_name:2             Value:Jupiter Encounter","Value","Jupiter Encounter","","","1979-04-25 (1979-115) to 1979-08-05 (1979-217)"
"vg2:Voyager2:2                       vg2:mission_phase_name:2             Value:Jupiter-Saturn Cruis","Value","Jupiter-Saturn Cruise","","","1979-08-05 (1979-217) to 1981-06-05 (1981-156)"
"vg2:Voyager2:2                       vg2:mission_phase_name:2             Value:Saturn Encounter","Value","Saturn Encounter","","","1981-06-05 (1981-156) to 1981-09-25 (1981-268)"
"vg2:Voyager2:2                       vg2:mission_phase_name:2             Value:Saturn-Uranus Cruise","Value","Saturn-Uranus Cruise","","","1981-09-25 (1981-268) to 1985-11-04 (1985-308)"
"vg2:Voyager2:2                       vg2:mission_phase_name:2             Value:Uranus Encounter","Value","Uranus Encounter","","","1985-11-04 (1985-308) to 1986-02-25 (1986-056)"
"vg2:Voyager2:2                       vg2:mission_phase_name:2             Value:Uranus-Neptune Cruis","Value","Uranus-Neptune Cruise","","","1986-02-25 (1986-056) to 1989-06-05 (1989-156)"
"vg2:Voyager2:2                       vg2:mission_phase_name:2             Value:Neptune Encounter","Value","Neptune Encounter","","","1989-06-05 (1989-156) to 1989-10-02 (1989-275)"
"vg2:Voyager2:2                       vg2:mission_phase_name:2             Value:Interstellar Mission","Value","Interstellar Mission","","","1989-10-02 (1989-275) to UNK"
"vg2:Voyager2:2                       vg2:spacecraft_clock_start_count:1  ","Attribute","spacecraft_clock_start_count","n/a","vg2","The spacecraft_clock_start_count attribute provides the value of the spacecraft clock at the beginning of a time period of interest. ","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"vg2:Voyager2:2                       vg2:spacecraft_clock_stop_count:1   ","Attribute","spacecraft_clock_stop_count","n/a","vg2","The spacecraft_clock_stop_count attribute provides the value of the spacecraft clock at the beginning of a time period of interest. ","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
