"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"vikinglander:Observation_Information:1       ","Class","Observation_Information","1.0.0.0","vikinglander","The Observation_Information class provides information about a Viking Lander science observation.","geo","","","","","","","","","","",""
"vikinglander:Observation_Information:2        vikinglander:product_type_name:1             ","Attribute","product_type_name","n/a","vikinglander","The product_type_name identifies a group of data products within a collection that have some property in common, such as processing level, resolution, or instrument-specific setting. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:calibration_level_0","Value","calibration_level_0","","","Calibration data acquired with an internal light source at level 0 (lowest)."
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:calibration_level_1","Value","calibration_level_1","","","Calibration data acquired with an internal light source at level 1."
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:calibration_level_2","Value","calibration_level_2","","","Calibration data acquired with an internal light source at level 2."
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:calibration_level_3","Value","calibration_level_3","","","Calibration data acquired with an internal light source at level 3 (highest)."
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:color_triplet","Value","color_triplet","","","Image is part of a three image sequence acquired with one of the color diodes."
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:detector_temperature","Value","detector_temperature","","","Temperature of Labeled Release beta detector given in degrees celsius."
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:event_mode","Value","event_mode","","","The seismometer acquired data in event mode."
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:head-end_temperature","Value","head-end_temperature","","","Temperature of Labeled Release head-end assembly sensor given in degrees celsius."
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:high_rate","Value","high_rate","","","The seismometer acquired data in high rate mode."
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:high_resolution_sing","Value","high_resolution_singlet","","","Single image sequence acquired with the high resolution pixel spacing (0.04 deg.)"
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:infrared_triplet","Value","infrared_triplet","","","Image is part of a three image sequence acquired with one of the infrared diodes."
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:low_resolution_singl","Value","low_resolution_singlet","","","Single image sequence acquired with the low resolution pixel spacing (0.12 deg.)"
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:radioactivity_counts","Value","radioactivity_counts","","","Radioactivity counts of a Labeled Release cycle."
"vikinglander:Observation_Information:2        vikinglander:product_type_name:2              Value:scan_verification","Value","scan_verification","","","Calibration data acquired to test the scanning of the VL camera."
