"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"msn_surface:Surface_Mission_Information:1   ","Class","Surface_Mission_Information","1.0.0.0","msn_surface","The Surface_Mission_Information class contains attributes specific to surface missions which apply across instrument types.","img","","","","","","","","","","",""
"msn_surface:Surface_Mission_Information:2    msn_surface:surface_gravity:1               ","Attribute","surface_gravity","n/a","msn_surface","The surface_gravity attribute specifies the acceleration of gravity (magnitude, not direction).","img","ASCII_Real","0","1","0.0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Acceleration","none","TBD_classConcept","REAL"
"msn_surface:Command_Execution:1             ","Class","Command_Execution","1.0.0.0","msn_surface","The Command_Execution class contains information about how the command that acquired this data was executed, such as sequence or activity.","img","","","","","","","","","","",""
"msn_surface:Command_Execution:2              msn_surface:sequence_id:1                   ","Attribute","sequence_id","n/a","msn_surface","The sequence_id identifies the command sequence used to acquire this product.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msn_surface:Command_Execution:2              msn_surface:sequence_version_id:1           ","Attribute","sequence_version_id","n/a","msn_surface","The sequence_version_id identifies which of potentially several versions of a sequence_id were used to acquire this product.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msn_surface:Command_Execution:2              msn_surface:sequence_execution_count:1      ","Attribute","sequence_execution_count","n/a","msn_surface","The sequence_execution_count specifies how many times this sequence has executed since the last reset of the flight computer.","img","ASCII_NonNegative_Integer","0","1","1","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"msn_surface:Command_Execution:2              msn_surface:command_sequence_number:1       ","Attribute","command_sequence_number","n/a","msn_surface","The command_sequence_number attribute provides a numeric identifier for a sequence of commands sent to a spacecraft or instrument.","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"msn_surface:Command_Execution:2              msn_surface:command_source_id:1             ","Attribute","command_source_id","n/a","msn_surface"," The command_source_id attribute specifies the flight software element that was the source of a particular command. ","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msn_surface:Command_Execution:2              msn_surface:observation_id:1                ","Attribute","observation_id","n/a","msn_surface","The observation_id specifies a unique identifier for a scientific observation within a data set.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msn_surface:Command_Execution:2              msn_surface:request_id:1                    ","Attribute","request_id","n/a","msn_surface","The request_id is used to group related datasets together by science or engineering application or theme, such as frames in a mosaic.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msn_surface:Telemetry:1                     ","Class","Telemetry","1.0.0.0","msn_surface","The Telemetry class contains downlink-related attributes used primarily during mission operations.","img","","","","","","","","","","",""
