"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"nucspec:NucSpec_Observation_Properties:1","Class","NucSpec_Observation_Properties","1.0.0.0","nucspec","This class specifies properties pertaining to a nuclear spectroscopy observation.","sbn","","","","","","","","","","",""
"nucspec:Energy_Calibration:1            ","Class","Energy_Calibration","1.0.0.0","nucspec","Specifies methods and data used to determine the pulse height in energy units (e.g. MeV) for each channel of a pulse height spectrum.","sbn","","","","","","","","","","",""
"nucspec:Calibration_Reference:1         ","Class","Calibration_Reference","1.0.0.0","nucspec","Contains a reference to a document that describes the energy calibration for the product.","sbn","","","","","","","","","","",""
"nucspec:Instrument_Settings:1           ","Class","Instrument_Settings","1.0.0.0","nucspec","This class specifies instrument settings. Instrument settings are driven via a state table, which are associated with specific observations within the data product, either by directly indicating those records, or indicating the observation times at which certain states apply.","sbn","","","","","","","","","","",""
"nucspec:Polynomial:1                    ","Class","Polynomial","1.0.0.0","nucspec","The pulse height in energy units (e.g. MeV) is determined for a given channel number using the polynomial: H(x) = a0 + a1 x + a2 x^2 + ..., where H is pulse height with energy units and x is channel number.","sbn","","","","","","","","","","",""
"nucspec:Polynomial_Term:1               ","Class","Polynomial_Term","1.0.0.0","nucspec","Describes a single term in the polynomial function.","sbn","","","","","","","","","","",""
"nucspec:Polynomial_Term:2                nucspec:order:1                         ","Attribute","order","n/a","nucspec","The order of a single term of the polynomial relating channel number to pulse height.","sbn","ASCII_Integer","1","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"nucspec:Polynomial_Term:2                nucspec:coefficient:1                   ","Attribute","coefficient","n/a","nucspec","The coefficient of a single term of the polynomial relating channel number to pulse height.","sbn","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"nucspec:State_Table:1                   ","Class","State_Table","1.0.0.0","nucspec","Specifies an additional look-up table that provides additional information about specific observations within the product.","sbn","","","","","","","","","","",""
"nucspec:State_Table_Entry:1             ","Class","State_Table_Entry","1.0.0.0","nucspec","Associates individual observations in the data product with a record in the state table, providing additional information on those observations.","sbn","","","","","","","","","","",""
"nucspec:State_Table_Entry:2              nucspec:state_index:1                   ","Attribute","state_index","n/a","nucspec","The state_index points to a row of a look up table containing the instrument settings.","sbn","ASCII_Integer","1","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"nucspec:State_Table_Entry:2              nucspec:comment:1                       ","Attribute","comment","n/a","nucspec","Any notes about the state at the time of observation.","sbn","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"nucspec:Applicable_Records:1            ","Class","Applicable_Records","1.0.0.0","nucspec","The records to which this state applies.","sbn","","","","","","","","","","",""
"nucspec:State_Time:1                    ","Class","State_Time","1.0.0.0","nucspec","The time during which this state was applicable. The state table entry is applicable to records in the referenced data table if the time of the data record, as given by state_time_field_name, is between the start time and stop time given in State_Time.","sbn","","","","","","","","","","",""
"nucspec:State_Time:2                     nucspec:state_time_field_name:1         ","Attribute","state_time_field_name","n/a","nucspec","The name of the field in the referenced data table that contains the time.","sbn","UTF8_String","1","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"nucspec:First_Last:1                    ","Class","First_Last","1.0.0.0","nucspec","Defines the first and last records for which this state applies. The record numbers are one-based and inclusive.","sbn","","","","","","","","","","",""
"nucspec:First_Last:2                     nucspec:first_record:1                  ","Attribute","first_record","n/a","nucspec","The first record for which the state applies, inclusive.","sbn","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"nucspec:First_Last:2                     nucspec:last_record:1                   ","Attribute","last_record","n/a","nucspec","The last record for which this state applies, inclusive.","sbn","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"nucspec:First_Count:1                   ","Class","First_Count","1.0.0.0","nucspec","Defines the records to which this state applies by identifying the first record (inclusive), and the number of contiguous records, including the first.","sbn","","","","","","","","","","",""
"nucspec:First_Count:2                    nucspec:first_record:1                  ","Attribute","first_record","n/a","nucspec","The first record for which the state applies, inclusive.","sbn","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"nucspec:First_Count:2                    nucspec:record_count:1                  ","Attribute","record_count","n/a","nucspec","The number of consecutive records, including the first, for which this state applies.","sbn","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"nucspec:Detectors:1                     ","Class","Detectors","1.0.0.0","nucspec","Specifies which detectors were active on an instrument at the time of observation.","sbn","","","","","","","","","","",""
"nucspec:Detector:1                      ","Class","Detector","1.0.0.0","nucspec","Specifies a single detector which was active at the time of observation.","sbn","","","","","","","","","","",""
"nucspec:Detector:2                       nucspec:name:1                          ","Attribute","name","n/a","nucspec","The name of the detector.","sbn","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"nucspec:Detector:2                       nucspec:description:1                   ","Attribute","description","n/a","nucspec","A description for the detector.","sbn","UTF8_Text_Preserved","1","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"nucspec:Detector:2                       nucspec:comment:1                       ","Attribute","comment","n/a","nucspec","Any notes about the state at the time of observation.","sbn","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"nucspec:Time_Range_ET:1                 ","Class","Time_Range_ET","1.0.0.0","nucspec","Ephemeris time, as defined by the referenced field, for the first and last science data records for a temporally contiguous block of records with the same state or affected by the same conditions. These records need not be contiguous within the file, but there must be no records with a different state between the start and stop time.","sbn","","","","","","","","","","",""
"nucspec:Time_Range_ET:2                  nucspec:et_start:1                      ","Attribute","et_start","n/a","nucspec","The earliest ephemeris time, as defined by the referenced field, for which this state or condition is applicable.","sbn","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"nucspec:Time_Range_ET:2                  nucspec:et_stop:1                       ","Attribute","et_stop","n/a","nucspec","The latest ephemeris time, as defined by the referenced field, for which this state or condition is applicable.","sbn","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"nucspec:Time_Range_SCLK:1               ","Class","Time_Range_SCLK","1.0.0.0","nucspec","Spacecraft clock time in ticks since spacecraft clock start for the first and last science data records for a temporally contiguous block of records with the same state or affected by the same conditions. These records need not be contiguous within the file, but there must be no records with a different state between the start and stop time.","sbn","","","","","","","","","","",""
"nucspec:Time_Range_SCLK:2                nucspec:sclk_start_time:1               ","Attribute","sclk_start_time","n/a","nucspec","The earliest spacecraft clock time, in ticks since spacecraft clock start, for which this state or condition is applicable.","sbn","ASCII_Integer","1","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"nucspec:Time_Range_SCLK:2                nucspec:sclk_stop_time:1                ","Attribute","sclk_stop_time","n/a","nucspec","The latest spacecraft clock time, in ticks since spacecraft clock start, for which this state or condition is applicable.","sbn","ASCII_Integer","1","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"nucspec:Time_Range_UTC:1                ","Class","Time_Range_UTC","1.0.0.0","nucspec","Universal Coordinated Time for the first and last science data records for a temporally contiguous block of records with the same state or affected by the same conditions. These records need not be contiguous within the file, but there must be no records with a different state between the start and stop time.","sbn","","","","","","","","","","",""
"nucspec:Time_Range_UTC:2                 nucspec:utc_start_time:1                ","Attribute","utc_start_time","n/a","nucspec","The earliest Universal Coordinated Time for which this state or condition is applicable.","sbn","ASCII_Date_Time_YMD_UTC","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"nucspec:Time_Range_UTC:2                 nucspec:utc_stop_time:1                 ","Attribute","utc_stop_time","n/a","nucspec","The latest Universal Coordinated Time for which this state or condition is applicable.","sbn","ASCII_Date_Time_YMD_UTC","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"nucspec:Observing_Conditions:1          ","Class","Observing_Conditions","1.0.0.0","nucspec","Describes activity that may affect nuclear spectroscopy observations.","sbn","","","","","","","","","","",""
"nucspec:Observing_Conditions:2           nucspec:condition_type:1                ","Attribute","condition_type","n/a","nucspec","Remarks about the containing object.","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"nucspec:Observing_Conditions:2           nucspec:condition_type:2                 Value:Data Glitch","Value","Data Glitch","","","Data Glitch"
"nucspec:Observing_Conditions:2           nucspec:condition_type:2                 Value:Electron Burst","Value","Electron Burst","","","Electron Burst"
