"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"proc:Processing_Information:1        ","Class","Processing_Information","1.0.0.0","proc","The Processing_Information class contains detailed information regarding the history of processing of the data product(s) described in the label. Information that can be specified using this class includes input products used to create a specific data product and the software and processes used to produce that product.","en","","","","","","","","","","",""
"proc:Input_Product_List:1            ","Class","Input_Product_List","1.0.0.0","proc","The Input_Product_List class describes all of the product(s) most directly used as input to software for product creation, including raw, partially-processed, calibrated, or derived products. These Input Products can be explicitly described in this label using the Input_Product class, and/or a list of products can be specified in another product referenced by the Internal_Reference or Local_Internal_Reference.","en","","","","","","","","","","",""
"proc:Input_Product:1                 ","Class","Input_Product","1.0.0.0","proc","The Input_Product class describes one of the product most directly used as input to software for product creation, including raw, partially-processed, calibrated, or derived products.","en","","","","","","","","","","",""
"proc:Input_Product:2                  pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","pds","ASCII_Local_Identifier","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"proc:Process:1                       ","Class","Process","1.0.0.0","proc","The Process class describes one of the software processes used to produce the data product referenced in the parent Processing_Information class. This class includes descriptions of the process owner as well as the data processing software used to create the data product.","en","","","","","","","","","","",""
"proc:Process:2                        pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"proc:Process:2                        pds:description:1                   ","Attribute","description","n/a","pds","The description attribute provides a statement, picture in words, or account that describes or is otherwise relevant to the object.","pds","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"proc:Process:2                        proc:process_owner_name:1            ","Attribute","process_owner_name","n/a","proc","The process_owner_name attribute specifies the name of the person or organization that owns the software process.","en","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"proc:Process:2                        proc:process_owner_institution_name:1","Attribute","process_owner_institution_name","n/a","proc","The process_owner_institution_name attribute specifies the name of the institution that owns the software process.","en","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"proc:Software:1                      ","Class","Software","1.0.0.0","proc","The Software class describes the data processing software used to produce the data product.","en","","","","","","","","","","",""
"proc:Software:2                       pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"proc:Software:2                       pds:software_id:1                   ","Attribute","software_id","n/a","pds","The software id attribute provides a formal name used to refer to the software.","ops","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"proc:Software:2                       pds:software_version_id:1           ","Attribute","software_version_id","n/a","pds","The software_version_id attribute provides the version of the software.","ops","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"proc:Software:2                       pds:software_type:1                 ","Attribute","software_type","n/a","pds","The software type attribute identifies the class of which the software is a member.","ops","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"proc:Software:2                       pds:description:1                   ","Attribute","description","n/a","pds","The description attribute provides a statement, picture in words, or account that describes or is otherwise relevant to the object.","pds","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"proc:Software_Program:1              ","Class","Software_Program","1.0.0.0","proc","The Software_Program class describes the specific components or tasks of the Software executed in producing the data product.","en","","","","","","","","","","",""
"proc:Software_Program:2               pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"proc:Software_Program:2               proc:program_type_name:1             ","Attribute","program_type_name","n/a","proc","The program_type_name attribute specifies the type of software program used for this software processing. Some examples include: VICAR, ISIS, GDAL.","en","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"proc:Software_Program:2               proc:program_user:1                  ","Attribute","program_user","n/a","proc","The program_user attribute specifies the username of the person responsible for running the software prgoram.","en","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"proc:Software_Program:2               proc:program_hostname:1              ","Attribute","program_hostname","n/a","proc","The program_hostname attribute specifies the machine hostname where the software program was executed.","en","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"proc:Software_Program:2               proc:program_path:1                  ","Attribute","program_path","n/a","proc","The program_path attribute specifies the file path to the software program. This path can be absolute or relative depending on the desired usage.","en","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"proc:Software_Program:2               proc:program_version:1               ","Attribute","program_version","n/a","proc","The program_version attribute specifies the version of the software program.","en","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"proc:Software_Program:2               proc:program_start_date_time:1       ","Attribute","program_start_date_time","n/a","proc","The program_start_date_time specifies the datetime for the start of the software program execution.","en","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"proc:Software_Program:2               proc:program_stop_date_time:1        ","Attribute","program_stop_date_time","n/a","proc","The program_stop_date_time attribute specifies the datetime for the end of the software program execution.","en","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"proc:Software_Program:2               pds:description:1                   ","Attribute","description","n/a","pds","The description attribute provides a statement, picture in words, or account that describes or is otherwise relevant to the object.","pds","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"proc:Software_Program_Parameters:1   ","Class","Software_Program_Parameters","1.0.0.0","proc","The Software_Program_Parameters class specifies the set of 1 or more parameters for the software program. These parameters can be input, output, or log information. The premise being a way to capture as much information as possible about the software program execution.","en","","","","","","","","","","",""
"proc:Parameter:1                     ","Class","Parameter","1.0.0.0","proc","The Parameter class describes any information about software program execution. Examples of information that can be captured here are software input arguments, software output arguments, log information, and references to specific data products. This class is intended to be freeform to allow data providers the ability to specify information they determine applicable and useful for their data processing software and data products.","en","","","","","","","","","","",""
"proc:Parameter:2                      pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"proc:Parameter:2                      proc:parameter_type:1                ","Attribute","parameter_type","n/a","proc","The parameter_type attribute specifies the type of software parameter. Valid values: 'Input' - this parameter specifies input data, 'Output' - this parameter specifies output data, 'Log' - this parameter specifies log data","en","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"proc:Parameter:2                      proc:parameter_type:2                 Value:Input","Value","Input","","","this parameter specifies input data"
"proc:Parameter:2                      proc:parameter_type:2                 Value:Log","Value","Log","","","this parameter specifies log data"
