"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"radar:Radar:1                         ","Class","Radar","1.0.0.0","radar","This class is the top level class that contains other radar classes, separated by sub-discipline.","sbn","","","","","","","","","","",""
"radar:Groundbased_Radar:1             ","Class","Groundbased_Radar","1.0.0.0","radar","This class contains attributes that describe metadata pertinent to radar observations / data from Arecibo, Goldstone, and similar installations.","sbn","","","","","","","","","","",""
"radar:Groundbased_Radar:2              radar:observation_purpose:1           ","Attribute","observation_purpose","n/a","radar","Type of radar experiment being performed. Simpler experiments can have higher signal-to-noise or simpler hardware configurations, while more complicated experiments provide more information. ‘Range’ and ‘Total Power’ are mostly historical.","sbn","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"radar:Groundbased_Radar:2              radar:observation_purpose:2            Value:Doppler","Value","Doppler","","","Received signal is analyzed as a function of Doppler shift with separation by range."
"radar:Groundbased_Radar:2              radar:observation_purpose:2            Value:Range","Value","Range","","","Transmitted signal is modulated in order to resolve and/or local the target in range, but the entire received signal is analyzed without separation by Doppler shift."
"radar:Groundbased_Radar:2              radar:observation_purpose:2            Value:Range-Doppler","Value","Range-Doppler","","","Transmitted signal is modulated in order to resolve and/or locate the target in range. Received signal is analyzed as a function of Doppler shift in each range bin."
"radar:Groundbased_Radar:2              radar:observation_purpose:2            Value:Total Power","Value","Total Power","","","Only the total echo power is measured, with no separation in range or Doppler shift."
"radar:Transmission_Properties:1       ","Class","Transmission_Properties","1.0.0.0","radar","Transmission properties","sbn","","","","","","","","","","",""
"radar:Transmission_Properties:2        radar:range_resolution_time:1         ","Attribute","range_resolution_time","n/a","radar","Range resolution of products, expressed in units of time. The minimum separation distance that can be resolved between two closely spaced targets by a radar.","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"radar:Transmission_Properties:2        radar:range_resolution_distance:1     ","Attribute","range_resolution_distance","n/a","radar","Range resolution of products, expressed in units of distance. The minimum separation distance that can be resolved between two closely spaced targets by a radar.","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"radar:Transmission_Properties:2        radar:transmitter_power:1             ","Attribute","transmitter_power","n/a","radar","transmitter power input to antenna","sbn","ASCII_Real","1","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Power","none","TBD_classConcept","REAL"
"radar:Transmission_Properties:2        radar:pulse_repetition_frequency:1    ","Attribute","pulse_repetition_frequency","n/a","radar","For repeating waveforms including pulse patterns, the frequency at which the waveform or pulse pattern repeats.","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Frequency","none","TBD_classConcept","REAL"
"radar:Transmission_Properties:2        radar:pulse_repetition_interval:1     ","Attribute","pulse_repetition_interval","n/a","radar","For repeating waveforms including pulse patterns, the interval from the beginning of one waveform or pulse pattern to the beginning of the next.","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"radar:Quality:1                       ","Class","Quality","1.0.0.0","radar","Quality","sbn","","","","","","","","","","",""
"radar:Quality:2                        radar:matched_snr_ratio:1             ","Attribute","matched_snr_ratio","n/a","radar","total matched-filter signal-to-noise ratio in one run, expressed as an actual ratio","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"radar:Quality:2                        radar:matched_snr_db:1                ","Attribute","matched_snr_db","n/a","radar","total matched-filter signal-to-noise ratio in one run, expressed in db","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
