"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"sb:Additional_Geometry_Metadata:1  ","Class","Additional_Geometry_Metadata","1.0.0.0","sb"," The sb:Additional_Geometry_Metadata class provides information to supplement that already provided in the classes of the Geometry (geom:) namespace. This class is only useful in relatively simple cases where there is just a single geom:Geometry class the label, with a single target and orbiter reference. The optional sb:comment attribute may be used to note unusual circumstances. ","sbn","","","","","","","","","","",""
"sb:Additional_Geometry_Metadata:2   sb:comment:1                       ","Attribute","comment","n/a","sb"," The comment attribute provides an opportunity to provide additional information in free-format (UTF-8) text. Note that characters special to XML parsing (greater-than, less-than, and ampersand, primarily) must be presented using character entity codes. ","sbn","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"sb:Additional_Image_Metadata:1     ","Class","Additional_Image_Metadata","1.0.0.0","sb"," The sb:Additional_Image_Metadata class provides metadata to supplement the standard image metadata supplied by the more general discipline classes. The sb:comment field may be used to note any unsual circumstances. ","sbn","","","","","","","","","","",""
"sb:Additional_Image_Metadata:2      sb:comment:1                       ","Attribute","comment","n/a","sb"," The comment attribute provides an opportunity to provide additional information in free-format (UTF-8) text. Note that characters special to XML parsing (greater-than, less-than, and ampersand, primarily) must be presented using character entity codes. ","sbn","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"sb:Additional_Image_Metadata:2      sb:image_observation_type:1        ","Attribute","image_observation_type","n/a","sb"," The sb:image_observation_type attribute indicates whether the data product is a single, 2D image, or an image ""frame sequence"" - a series of images obtained in a single observing sequence and processed as a set. If the images were intended to comprise a spectral cube or an movie sequence, then the data should be labeled accordingly and this class may not be present if there is no additional metadata needed. Additiona types can be added to the permissible value list as needs arise. When in doubt, check with the PDS node curating the data or raise an issue on this dictionary. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sb:Additional_Image_Metadata:2      sb:image_observation_type:2         Value:Frame Sequence","Value","Frame Sequence","",""," There are multiple images in the data array, physically organized in the file as a sequence of frames. The images were collected as part of a single observation, but do not comprise a spectral cube, or a movie sequence, or a similar higher-order whole. "
"sb:Additional_Image_Metadata:2      sb:image_observation_type:2         Value:Single Image","Value","Single Image","",""," The data array contains a single image. "
"sb:Ancillary_Data_Objects:1        ","Class","Ancillary_Data_Objects","1.0.0.0","sb"," The sb:Ancillary_Data_Objects class provides mappings between the primary image data in the product and the ancillary data (quality maps, error estimates, etc.) provided with it as part of the data product. The optional sb:comment field may be used to note any unusual circumstances. ","sbn","","","","","","","","","","",""
"sb:Ancillary_Data_Objects:2         sb:comment:1                       ","Attribute","comment","n/a","sb"," The comment attribute provides an opportunity to provide additional information in free-format (UTF-8) text. Note that characters special to XML parsing (greater-than, less-than, and ampersand, primarily) must be presented using character entity codes. ","sbn","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"sb:Bad_Pixel_Map:1                 ","Class","Bad_Pixel_Map","1.0.0.0","sb"," The sb:Bad_Pixel_Map class identifies the PDS archive product containing the bad pixel map applied in processing the data in the product. ","sbn","","","","","","","","","","",""
"sb:Bad_Pixel_Map:2                  sb:file_name:1                     ","Attribute","file_name","n/a","sb"," The sb:file_name attribute should contain the name, preferably without path information, of the file referenced more formally by a pds:Internal_Reference class in the same containing class. The file name is provided as a matter of convenience and for use as a validation cross-check when the data are accepted for archiving. Path information is unlikely to be useful once the data are archived, and as the data are curated both paths and file names may change. Consequently, the logical identifier appearing in the pds:Internal_Reference should be considered the positive identification of the file in question within the archive, rather than the name. ","sbn","ASCII_File_Name","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sb:Bad_Pixel_Map:2                  sb:comment:1                       ","Attribute","comment","n/a","sb"," The comment attribute provides an opportunity to provide additional information in free-format (UTF-8) text. Note that characters special to XML parsing (greater-than, less-than, and ampersand, primarily) must be presented using character entity codes. ","sbn","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"sb:Bias_Map:1                      ","Class","Bias_Map","1.0.0.0","sb"," The sb:Bias_Map class identifies a PDS4 product that contains the pixel-by-pixel bias values applied during a calibration process. ","sbn","","","","","","","","","","",""
"sb:Bias_Map:2                       sb:file_name:1                     ","Attribute","file_name","n/a","sb"," The sb:file_name attribute should contain the name, preferably without path information, of the file referenced more formally by a pds:Internal_Reference class in the same containing class. The file name is provided as a matter of convenience and for use as a validation cross-check when the data are accepted for archiving. Path information is unlikely to be useful once the data are archived, and as the data are curated both paths and file names may change. Consequently, the logical identifier appearing in the pds:Internal_Reference should be considered the positive identification of the file in question within the archive, rather than the name. ","sbn","ASCII_File_Name","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sb:Calibration_Applied:1           ","Class","Calibration_Applied","1.0.0.0","sb"," The sb:Calibration_Applied class provide flags to indicate specific calibration processes that have been performed, as well as references to files provided with the archive that were used as part of the processing. The otpional sb:comment field may be used to note any unusual circumstances. ","sbn","","","","","","","","","","",""
"sb:Calibration_Applied:2            sb:comment:1                       ","Attribute","comment","n/a","sb"," The comment attribute provides an opportunity to provide additional information in free-format (UTF-8) text. Note that characters special to XML parsing (greater-than, less-than, and ampersand, primarily) must be presented using character entity codes. ","sbn","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"sb:Calibration_Applied:2            sb:bias_subtraction:1              ","Attribute","bias_subtraction","n/a","sb"," The sb:bias_subtraction attribute should be present and contain the value ""true"" if bias subtraction has been performed as part of the processing applied to the data comprising the product. ","sbn","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"sb:Calibration_Applied:2            sb:dark_current_removal:1          ","Attribute","dark_current_removal","n/a","sb"," The sb:dark_current_removal attribute should be present and contain the value ""true"" if dark current removal has been performed as part of the processing applied to the data comprising the product. ","sbn","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"sb:Calibration_Applied:2            sb:dead_time_correction:1          ","Attribute","dead_time_correction","n/a","sb"," The sb:dead_time_correction attribute should be present and contain the value ""true"" if deadtime correction has been performed as part of the processing applied to the data comprising the product. ","sbn","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"sb:Calibration_Applied:2            sb:effective_area_correction:1     ","Attribute","effective_area_correction","n/a","sb"," The sb:effective_area_correction attribute should be present and contain the value ""true"" if effective area correction based on the calculated effective area of the instrument due to varying sensitivity has been performed as part of the processing applied to the data comprising the product. ","sbn","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"sb:Calibration_Applied:2            sb:flat_field_applied:1            ","Attribute","flat_field_applied","n/a","sb"," The sb:flat_field_applied attribute should be present and contain the value ""true"" if flat fielding has been performed as part of the processing applied to the data comprising the product. ","sbn","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"sb:Calibration_Applied:2            sb:scattered_light_correction:1    ","Attribute","scattered_light_correction","n/a","sb"," The sb:scattered_light_correction attribute should be present and contain the value ""true"" if scattered light correction has been applied as part of the processing of the data comprising the product. ","sbn","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"sb:Calibration_Applied:2            sb:smear_removal_applied:1         ","Attribute","smear_removal_applied","n/a","sb"," The sb:smear_removal_applied attribute should be present and contain the value ""true"" if a smear removal correction algorithm to remove readout smear generated as charge is transferred across the CCD has been applied as part of the processing of the data comprising the product. ","sbn","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"sb:Calibration_Applied:2            sb:wavelength_solution_applied:1   ","Attribute","wavelength_solution_applied","n/a","sb"," The sb:wavelength_solution_applied attribute should be present and contain the value ""true"" if a wavelength solution corresponding to the spectral dimension of the detector has been determined as part of the processing applied to the data comprising the product. ","sbn","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"sb:Calibration_Applied:2            sb:conversion_to_physical_units:1  ","Attribute","conversion_to_physical_units","n/a","sb"," The sb:conversion_to_physical_units attribute should be present and contain the value ""true"" if the primary data is expressed in physical units once any value offset and scaling factor included in the definition of the data structure have been applied. ","sbn","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"sb:Calibration_Information:1       ","Class","Calibration_Information","1.0.0.0","sb"," The sb:Calibration_Information class documents what processing steps have been applied to the data, and links to both the raw data file and the specific calibration files used to produce the processed product presented in the label. ","sbn","","","","","","","","","","",""
"sb:Calibration_Reference_Files:1   ","Class","Calibration_Reference_Files","1.0.0.0","sb"," The sb:Calibration_Reference_Files class provides explicit references to key calibration files provided as part of the archive. Note that these references are required to be to specific versions of calibration files, as calibration processes and details typically evolve over time. The optional sb:comment should be used to note any unusual circumstances related to the calibration files as a group. The optional pds:comment field in the pds:Internal_Reference class should be used to note any unusual circumstances related to any particular referenced file. The subclasses mat be listed in any order, and may be repeated if that makes sense - although that should be explained in a "comment" field. ","sbn","","","","","","","","","","",""
"sb:Calibration_Reference_Files:2    sb:comment:1                       ","Attribute","comment","n/a","sb"," The comment attribute provides an opportunity to provide additional information in free-format (UTF-8) text. Note that characters special to XML parsing (greater-than, less-than, and ampersand, primarily) must be presented using character entity codes. ","sbn","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"sb:Dark_Field:1                    ","Class","Dark_Field","1.0.0.0","sb"," The sb:Dark_Field class identifies the PDS archive product containing the dark field used to calibrate the data in the product. ","sbn","","","","","","","","","","",""
