"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"speclib:Measurement_Instrument:1        ","Class","Measurement_Instrument","1.0.0.0","speclib","The Measurement_Instrument class contains attributes that identify the instrument that made the measurement. ","geo","","","","","","","","","","",""
"speclib:Measurement_Instrument:2         speclib:instrument_name:1               ","Attribute","instrument_name","n/a","speclib","The instrument_name element provides a descriptive name of the instrument that made a spectral measurement.","geo","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","100","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:1        ","Class","Measurement_Parameters","1.0.0.0","speclib","The Measurement_Parameters class contains attributes relevant to a single measurement of a specimen. ","geo","","","","","","","","","","",""
"speclib:Measurement_Parameters:2         speclib:segment_number:1                ","Attribute","segment_number","n/a","speclib","The segment_number element identifies which segment of a merged spectrum is described by a Measurement_Parameters class. The first segment is segment number 1. If the spectrum is not merged from multiple segments, then the value of segment_number is 1.","geo","ASCII_NonNegative_Integer","1","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"speclib:Measurement_Parameters:2         speclib:measurement_type:1              ","Attribute","measurement_type","n/a","speclib","The measurement_type element identifies the type of spectroscopy performed on a specimen.","geo","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:2         speclib:measurement_type:2               Value:Attenuated Total Ref","Value","Attenuated Total Reflectance","","","Attenuated total reflectance (ATR) is a sampling technique used in conjunction with infrared spectroscopy which enables samples to be examined directly in the solid or liquid state without further preparation."
"speclib:Measurement_Parameters:2         speclib:measurement_type:2               Value:Emission","Value","Emission","","","The Emission value indicates emission spectroscpy, which examines the wavelengths emitted by atoms or molecules during their transition from an excited state to a lower energy state."
"speclib:Measurement_Parameters:2         speclib:measurement_type:2               Value:LIBS","Value","LIBS","","","LIBS (Laser-Induced Breakdown Spectroscopy) uses a highly energetic laser pulse as its excitation source to produce emission spectra."
"speclib:Measurement_Parameters:2         speclib:measurement_type:2               Value:Raman","Value","Raman","","","The Raman value indicates Raman spectroscopy, which determines information about a material by studying the Raman scattering of monochromatic light off the material."
"speclib:Measurement_Parameters:2         speclib:measurement_type:2               Value:Reflectance","Value","Reflectance","","","The Reflectance value indicates reflectance spectroscopy, the study of light as a function of wavelength that has been reflected or scattered from a material."
"speclib:Measurement_Parameters:2         speclib:measurement_type:2               Value:Transmission","Value","Transmission","","","The Transmission value indicates transmission spectroscopy, the study of light as a function of wavelength that has been transmitted through a material."
"speclib:Measurement_Parameters:2         speclib:measurement_type:2               Value:X-Ray Absorption Nea","Value","X-Ray Absorption Near-Edge Structure","","","The X-ray Absorption Near-Edge Structure value indicates XANES spectroscopy, which determines information about a material by studying the X-ray absorption spectra of electronic transitions within an atomic core."
"speclib:Measurement_Parameters:2         speclib:measurement_type:2               Value:X-Ray Diffraction","Value","X-Ray Diffraction","","","The X-Ray Diffraction value indicates x-ray diffraction spectroscopy, which studies the diffraction patterns of x-rays scattered off a material."
"speclib:Measurement_Parameters:2         speclib:measurement_type:2               Value:X-Ray Fluorescence","Value","X-Ray Fluorescence","","","The X-Ray Fluorescence value indicates x-ray flourescence spectroscopy, which examines the emission of x-rays from a material previously bombarded with high energy x-rays or gamma rays."
"speclib:Measurement_Parameters:2         speclib:spectral_range_parameter_name:1 ","Attribute","spectral_range_parameter_name","n/a","speclib","The spectral_range_parameter_name element identifies the name of the parameter which determines the sampling interval of the measurement.","geo","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:2         speclib:spectral_range_parameter_name:2  Value:Angle","Value","Angle","","","The Angle value means the spectrum is a function of angle."
"speclib:Measurement_Parameters:2         speclib:spectral_range_parameter_name:2  Value:Energy","Value","Energy","","","The Energy value means the spectrum is a function of energy."
"speclib:Measurement_Parameters:2         speclib:spectral_range_parameter_name:2  Value:Frequency","Value","Frequency","","","The Frequency value means the spectrum is a function of frequency."
"speclib:Measurement_Parameters:2         speclib:spectral_range_parameter_name:2  Value:Time","Value","Time","","","The Time value means the spectrum is a function of time."
"speclib:Measurement_Parameters:2         speclib:spectral_range_parameter_name:2  Value:Wavelength","Value","Wavelength","","","The Wavelength value means the spectrum is a function of wavelength."
"speclib:Measurement_Parameters:2         speclib:spectral_range_parameter_name:2  Value:Wavenumber","Value","Wavenumber","","","The Wavenumber value means the spectrum is a function of wavenumber."
"speclib:Measurement_Parameters:2         speclib:spectral_range_min:1            ","Attribute","spectral_range_min","n/a","speclib","The spectral_range_min element identifies the minimum value at which a given data item was sampled. For example, a spectrum that was measured in the 0.4 to 3.5 um spectral range would have a spectral_range_min value of 0.4.","geo","ASCII_Real","1","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:spectral_range_max:1            ","Attribute","spectral_range_max","n/a","speclib","The spectral_range_max element identifies the maximum value at which a given data item was sampled. For example, a spectrum that was measured in the 0.4 to 3.5 um spectral range would have a spectral_range_max value of 3.5.","geo","ASCII_Real","1","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:spectral_range_unit_name:1      ","Attribute","spectral_range_unit_name","n/a","speclib","The spectral_range_unit_name element identifies the unit of measure for the values specified by spectral_range_min and spectral_range_max.","geo","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:2         speclib:spectral_sampling_interval_min:1","Attribute","spectral_sampling_interval_min","n/a","speclib","The spectral_sampling_interval_min element identifies the minimum distance between band centers in a given spectrum. If all band centers are equally spaced, spectral_sampling_interval_min and spectral_sampling_interval_max will have the same value.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
